lganame,wardname,year,month,rain_mm,valid_pixels
Patani,Agoloma,2015,6,181.31241861979169,3
Patani,Buluangiama,2015,6,174.68963623046875,8
Patani,Odorubu,2015,6,169.52142333984375,8
Patani,Patani 2,2015,6,201.13926696777344,4
Patani,Patani 3,2015,6,207.0708211263021,6
Patani,Patani 4,2015,6,197.12884521484372,2
Patani,Patani 5,2015,6,190.75388881138392,7
Patani,Toruangiama,2015,6,161.68741861979166,3
Patani,Uduophori,2015,6,163.70638427734374,5
Warri South-West,Ajudaibo,2015,6,34.587135314941406,4
Warri South-West,Akpakpa,2015,6,23.08250999450684,2
Warri South-West,Isaba,2015,6,194.88330078125,15
Warri South-West,Madangho,2015,6,41.50753784179688,3
Warri South-West,Ogbe-Ijoh,2015,6,196.71369086371527,36
Warri South-West,Ogidigben,2015,6,76.35254669189453,4
Warri South-West,Okerenkoko,2015,6,146.62908257378473,36
Warri South-West,Oporozo,2015,6,77.97911071777344,16
Warri South-West,Orere,2015,6,206.40189985795453,11
Warri South-West,Ugborodo,2015,6,180.5281127929688,10
Warri South,Avenue,2015,6,151.19583129882812,2
Warri South,Bowen,2015,6,158.10211181640625,2
Warri South,Ekurede,2015,6,151.50706481933594,4
Warri South,Esisi,2015,6,144.72808837890625,4
Warri South,Igbudu,2015,6,149.12299601236978,3
Warri South,Obodo,2015,6,178.32080078125,16
Warri South,Ode-Itsekiri,2015,6,174.5323486328125,9
Warri South,Okere,2015,6,151.19583129882812,2
Warri South,Pessu,2015,6,158.10211181640625,2
Warri South,Ubeji,2015,6,148.96275111607142,7
Bomadi,Akugbene 1,2015,7,239.5404510498047,2
Bomadi,Akugbene 2,2015,7,257.11004638671875,1
Bomadi,Akugbene 3,2015,7,257.11004638671875,1
Bomadi,Bomadi,2015,7,287.14267985026044,6
Bomadi,Ekaametagbene/Kalafio,2015,7,242.5852254231771,12
Bomadi,Esanma,2015,7,242.5926055908203,4
Bomadi,Kpakiama,2015,7,279.2223307291667,6
Bomadi,Ogbeinma/Okoloba,2015,7,251.495849609375,3
Bomadi,Ogo/Eze,2015,7,217.4990692138672,2
Bomadi,Ogriagbene,2015,7,261.6161295572917,6
Burutu,Bolou-Ndoro,2015,7,254.6785835597826,23
Burutu,Egodor,2015,7,243.75608915441177,17
Burutu,Eseinbiri,2015,7,254.5995871803977,11
Burutu,Kiagbodo,2015,7,221.65629069010416,3
