lganame,wardname,ym,year,month,no2_mol_m2,no2_umol_m2,no2_valid_pixels,rainfall_mm,rainfall_valid_pixels,t2m_mean,t2m_max,t2m_min,ts_mean,temp_n_days,flare_n_sites,flare_total_bcm_13yr,flare_max_site_bcm,flare_last_year_bcm,flare_operators,fac_total,fac_phc,fac_secondary,fac_tertiary,fac_public,fac_private,pop_total,pop_under5,fac_per_1k_pop,phc_per_1k_u5,rainfall_mm_lag1m,rainfall_mm_lag2m,rainfall_mm_lag3m,t2m_mean_lag1m,t2m_mean_lag2m,t2m_mean_lag3m,ndvi_annual,ndvi_monthly,ndvi,ndvi_source,t,no2_umol_m2_lag1,no2_umol_m2_lag2,no2_umol_m2_lag3,rainfall_mm_lag1,rainfall_mm_lag2,rainfall_mm_lag3,t2m_mean_lag1,t2m_mean_lag2,t2m_mean_lag3,ndvi_lag1,ndvi_lag2,ndvi_lag3,month_sin,month_cos,no2_umol_m2_t1,rainfall_mm_t1,t2m_mean_t1
Bomadi,Akugbene 3,2025-12,2025,12,,,0,125.9309310913086,1,26.73,30.72,24.28,27.01,31,0,0.0,0.0,0.0,,1,1,0,0,1,0,3533,551,0.28,1.81,221.561767578125,358.1501159667969,373.4741516113281,26.69,25.65,25.31,,,,annual,24312,,,,221.561767578125,358.1501159667969,373.4741516113281,26.69,25.65,25.31,,,,-2.4492935982947064e-16,1.0,,35.6409797668457,27.17
Bomadi,Akugbene 3,2026-01,2026,1,,,0,35.6409797668457,1,27.17,32.11,24.41,27.4,31,0,0.0,0.0,0.0,,1,1,0,0,1,0,3533,551,0.28,1.81,125.9309310913086,221.561767578125,358.1501159667969,26.73,26.69,25.65,,,,annual,24313,,,,125.9309310913086,221.561767578125,358.1501159667969,26.73,26.69,25.65,,,,0.49999999999999994,0.8660254037844387,,143.80726623535156,27.34
Bomadi,Akugbene 3,2026-02,2026,2,,,0,143.80726623535156,1,27.34,32.92,24.19,27.53,28,0,0.0,0.0,0.0,,1,1,0,0,1,0,3533,551,0.28,1.81,35.6409797668457,125.9309310913086,221.561767578125,27.17,26.73,26.69,,,,annual,24314,,,,35.6409797668457,125.9309310913086,221.561767578125,27.17,26.73,26.69,,,,0.8660254037844386,0.5000000000000001,,138.79275512695312,27.68
Bomadi,Akugbene 3,2026-03,2026,3,,,0,138.79275512695312,1,27.68,32.21,24.53,27.97,31,0,0.0,0.0,0.0,,1,1,0,0,1,0,3533,551,0.28,1.81,143.80726623535156,35.6409797668457,125.9309310913086,27.34,27.17,26.73,,,,annual,24315,,,,143.80726623535156,35.6409797668457,125.9309310913086,27.34,27.17,26.73,,,,1.0,6.123233995736766e-17,,206.6270904541016,27.61
Bomadi,Akugbene 3,2026-04,2026,4,,,0,206.6270904541016,1,27.61,31.96,24.28,27.81,30,0,0.0,0.0,0.0,,1,1,0,0,1,0,3533,551,0.28,1.81,138.79275512695312,143.80726623535156,35.6409797668457,27.68,27.34,27.17,,,,annual,24316,,,,138.79275512695312,143.80726623535156,35.6409797668457,27.68,27.34,27.17,,,,0.8660254037844387,-0.4999999999999998,,,
Bomadi,Bomadi,2025-05,2025,5,1.42733342727297e-05,14.2733342727297,1,217.0549112955729,6,27.07,31.56,24.66,27.32,31,0,0.0,0.0,0.0,,4,3,1,0,2,2,37392,5833,0.11,0.51,,,,,,,,,,annual,24305,,,,,,,,,,,,,0.49999999999999994,-0.8660254037844387,0.7507415489271807,352.2040608723958,26.38
Bomadi,Bomadi,2025-06,2025,6,7.507415489271807e-07,0.7507415489271807,1,352.2040608723958,6,26.38,29.95,23.93,26.64,30,0,0.0,0.0,0.0,,4,3,1,0,2,2,37392,5833,0.11,0.51,217.0549112955729,,,27.07,,,,,,annual,24306,14.2733342727297,,,217.0549112955729,,,27.07,,,,,,1.2246467991473532e-16,-1.0,11.522043678269256,269.9983317057292,25.28
Bomadi,Bomadi,2025-07,2025,7,1.1522043678269256e-05,11.522043678269256,1,269.9983317057292,6,25.28,28.95,23.03,25.45,31,0,0.0,0.0,0.0,,4,3,1,0,2,2,37392,5833,0.11,0.51,352.2040608723958,217.0549112955729,,26.38,27.07,,,,,annual,24307,0.7507415489271807,14.2733342727297,,352.2040608723958,217.0549112955729,,26.38,27.07,,,,,-0.4999999999999997,-0.8660254037844388,14.358402950165328,216.54913330078125,24.88
Bomadi,Bomadi,2025-08,2025,8,1.4358402950165328e-05,14.358402950165328,1,216.54913330078125,6,24.88,28.59,22.5,25.14,31,0,0.0,0.0,0.0,,4,3,1,0,2,2,37392,5833,0.11,0.51,269.9983317057292,352.2040608723958,217.0549112955729,25.28,26.38,27.07,,,,annual,24308,11.522043678269256,0.7507415489271807,14.2733342727297,269.9983317057292,352.2040608723958,217.0549112955729,25.28,26.38,27.07,,,,-0.8660254037844384,-0.5000000000000004,16.179064914467745,390.5998128255208,25.31
Bomadi,Bomadi,2025-09,2025,9,1.6179064914467745e-05,16.179064914467745,1,390.5998128255208,6,25.31,29.08,23.19,25.56,30,0,0.0,0.0,0.0,,4,3,1,0,2,2,37392,5833,0.11,0.51,216.54913330078125,269.9983317057292,352.2040608723958,24.88,25.28,26.38,,,,annual,24309,14.358402950165328,11.522043678269256,0.7507415489271807,216.54913330078125,269.9983317057292,352.2040608723958,24.88,25.28,26.38,,,,-1.0,-1.8369701987210297e-16,14.475734133156948,404.07080078125,25.65
