lganame,wardname,pop_total,pop_under5,pixel_count
Isoko North,Owhe 2,21501,3354,41
Isoko North,Owhe 3,7131,1112,18
Isoko North,Oyede,15285,2384,36
Isoko North,Ozoro 1,32877,5129,19
Isoko North,Ozoro 2,18481,2883,15
Isoko North,Ozoro 3,51536,8040,42
Isoko South,Avsiara,21691,3384,52
Isoko South,Emede,24948,3892,23
Isoko South,Enwhe,12396,1934,42
Isoko South,Igbide,25423,3966,42
Isoko South,Irri 10,34651,5406,21
Isoko South,Irri 11,18857,2942,73
Isoko South,Oleh 1,36702,5726,26
Isoko South,Oleh 2,26273,4099,10
Isoko South,Olomoro,24444,3813,54
Isoko South,Umeh/Erowha,5568,869,74
Isoko South,Uzere,24000,3744,80
Ndokwa East,Aballa/Inyi/Onuaboh,7609,1187,199
Ndokwa East,Aboh/Akarai,22527,3514,247
Ndokwa East,Afor/Obikwele,14366,2241,121
Ndokwa East,Ase,5096,795,48
Ndokwa East,Ashaka/Ushie,22758,3550,54
Ndokwa East,Ibedeni/Azagba,2306,360,37
Ndokwa East,Ibrede/Onu/Iyede-Ame,10385,1620,94
Ndokwa East,Okpi/Utchi/Beneku,28611,4463,312
Ndokwa East,Ossissa,7289,1137,80
Ndokwa East,Umuolu/Onya,3642,568,101
Ndokwa West,Abbi 8,6245,974,24
Ndokwa West,Abbi 9,15808,2466,29
Ndokwa West,Emu,15052,2348,64
Ndokwa West,Etua,2959,462,45
Ndokwa West,Kwale,99223,15479,101
Ndokwa West,Ndemili,17160,2677,88
Ndokwa West,Ogume 6,15730,2454,24
Ndokwa West,Ogume 7,16960,2646,41
Ndokwa West,Onitcha Ukwuani,12850,2005,63
Ndokwa West,Utagba Uno,11104,1732,79
Okpe,Adagbarassa,5480,855,40
Okpe,Adeje,21197,3307,42
Okpe,Aghalokpe,6264,977,24
Okpe,Evwriyen,10316,1609,45
Okpe,Mereje,14638,2284,58
Okpe,Oha,81107,12653,40
Okpe,Okwabude,7848,1224,42
Okpe,Orerokpe,37375,5830,18
Okpe,Oviri-Okpe,3442,537,26
Okpe,Ughoton,71856,11210,66
Oshimili North,Atuma Akwukwu-Igbo,12778,1993,75
Oshimili North,Ebu,9187,1433,55
Oshimili North,Ezukwu/Ogboli/Achalla,13462,2100,33
Oshimili North,Illah,19060,2973,119
Oshimili North,Ogbowele,11125,1736,25
Oshimili North,Okpanam/Ugbolu,108755,16966,101
Oshimili North,Ukalla/Anwalo,5070,791,22
Oshimili North,Umueze,7427,1159,51
Oshimili North,Umuezeagwu/Okponta,7756,1210,4
Oshimili North,Umuodafe,26343,4110,39
Oshimili South,Akuebolu,6299,983,1
Oshimili South,Cable Point,32555,5079,5
