lganame,wardname,no2_umol_m2_mean,no2_valid_pixels_total,rainfall_mm_mean,t2m_mean,flare_n_sites,flare_total_bcm_13yr,fac_total,fac_phc,pop_total,pop_under5,phc_per_1k_u5,no2_umol_m2_for_score,score_child,score_no2,score_flare,score_coverage_gap,score,rank
Warri South-West,Ogidigben,17.637347506630856,36,62.534538785616554,27.228333333333335,10,0.540161479,2,1,3835,598,1.67,17.637347506630856,0.04882828447783131,0.09080168780157544,0.4736912448615502,0.8116187253243091,0.314,27
Burutu,Tuomo,17.551369902927643,48,241.65251244439017,26.4825,0,0.0,3,3,15353,2395,1.25,17.551369902927643,0.19555809586021067,0.08464480710970054,0.0,0.8589960518894529,0.304,28
Warri South-West,Akpakpa,,0,20.491481165091198,27.228333333333335,0,0.0,0,0,657,102,0.0,19.177874414154537,0.008328570262105005,0.20111925846785111,0.0,1.0,0.303,29
Bomadi,Akugbene 1,18.696546893200622,24,219.91002400716147,26.290833333333335,0,0.0,1,0,1848,288,0.0,18.696546893200622,0.023515963093002367,0.1666512575863796,0.0,1.0,0.3,30
Burutu,Egodor,20.408099468719836,168,233.5374148499732,26.290833333333335,0,0.0,5,5,11283,1760,2.84,20.408099468719836,0.1437086633461256,0.289216025054412,0.0,0.679639029892837,0.293,31
Bomadi,Akugbene 2,,0,218.08514499664307,26.4825,0,0.0,0,0,0,0,0.0,18.653150913610578,0.0,0.16354365912660818,0.0,1.0,0.291,32
Burutu,Eseinbiri,16.798467925127625,96,235.90747717655066,26.4825,0,0.0,4,4,16667,2600,1.54,16.798467925127625,0.21229688903404914,0.030729282015598616,0.0,0.826283135927806,0.289,33
Burutu,Tamigbe,16.97702843254471,48,248.72612720065646,26.4825,0,0.0,1,1,9662,1507,0.66,16.97702843254471,0.12305054299012003,0.04351605081462886,0.0,0.9255499153976311,0.285,34
Burutu,Ojobo,16.395013820632204,24,252.28778415256076,26.4825,0,0.0,2,1,11105,1732,0.58,16.395013820632204,0.14142238915652813,0.0018378186689330376,0.0,0.9345741680767061,0.284,35
Warri South-West,Isaba,21.450242608504293,96,234.8260257297092,26.290833333333335,0,0.0,1,1,2358,368,2.72,21.450242608504293,0.030048175063280804,0.3638441921484548,0.0,0.6931754089114495,0.275,36
Warri South-West,Oporozo,18.59336979188291,84,73.6829481124878,27.228333333333335,9,0.163191998,3,2,5755,898,2.23,18.59336979188291,0.07332407936637544,0.1592627159710601,0.14311020627974771,0.7484489565707839,0.274,37
Bomadi,Esanma,17.70821333479944,12,223.48339684804282,26.4825,0,0.0,1,1,5029,785,1.27,17.70821333479944,0.06409732995835715,0.09587640994283185,0.0,0.8567399887196842,0.261,38
Bomadi,Akugbene 3,,0,218.08514499664307,26.4825,0,0.0,1,1,3533,551,1.81,18.653150913610578,0.04499060994529273,0.16354365912660818,0.0,0.7958262831359277,0.256,39
Warri South,Obodo,20.00167474833171,204,217.93733723958334,26.290833333333335,1,0.000993394,3,2,4367,681,2.94,20.00167474833171,0.055605454396995185,0.2601118350574909,0.0008711506814020605,0.6683587140439933,0.252,40
Burutu,Bolou-Ndoro,16.369349648610093,288,259.74681865305143,26.4825,0,0.0,2,2,8587,1340,1.49,16.369349648610093,0.1094145505021638,0.0,0.0,0.8319232938522279,0.246,41
Bomadi,Ogriagbene,17.443231930277154,24,251.27883826361764,26.4825,0,0.0,2,1,3127,488,2.05,17.443231930277154,0.039846493018698456,0.07690101608513854,0.0,0.7687535250987028,0.225,42
Burutu,Obetebe,17.304513349723166,312,233.11678691294,26.290833333333335,0,0.0,5,4,8856,1382,2.89,17.304513349723166,0.11284396178655998,0.06696733901773246,0.0,0.6739988719684151,0.225,43
Bomadi,Ogo/Eze,19.62265537258645,12,219.13758865992227,26.290833333333335,0,0.0,2,2,3569,557,3.59,19.62265537258645,0.045480525843063606,0.23297014959684761,0.0,0.5950366610265088,0.223,44
Burutu,Ngbilebiri,18.50669519222316,36,237.50906478034128,26.290833333333335,0,0.0,2,2,3090,482,4.15,18.50669519222316,0.03935657712092758,0.15305592320019848,0.0,0.5318668922729837,0.185,45
Burutu,Torugbene,17.844667581812246,24,252.0678168402778,26.4825,0,0.0,3,3,4619,721,4.16,17.844667581812246,0.0588715603821344,0.10564793744035944,0.0,0.5307388606880993,0.18,46
Bomadi,Ogbeinma/Okoloba,18.33293261673437,12,219.44188902113171,26.290833333333335,0,0.0,3,3,3677,574,5.23,18.33293261673437,0.04686862088674777,0.14061273567324276,0.0,0.41003948110547095,0.154,47
Bomadi,Ekaametagbene/Kalafio,16.821837380120996,120,241.15678024291992,26.4825,0,0.0,3,3,3299,515,5.83,16.821837380120996,0.042051114558667425,0.03240277534445434,0.0,0.3423575860124084,0.108,48
Warri South-West,Madangho,,0,37.42774401770698,27.228333333333335,0,0.0,1,1,538,84,11.9,19.177874414154537,0.0068588225687923575,0.20111925846785111,0.0,0.0,0.053,49
Warri South-West,Ajudaibo,19.01749654583303,12,30.893853267033894,27.228333333333335,3,0.008369597,1,1,280,44,22.73,19.01749654583303,0.0035927165836531394,0.18963455363377305,0.0073396659629619675,0.0,0.05,50
Warri South-West,Orere,17.320629391785285,48,144.34831607703006,27.228333333333335,0,0.0,5,5,1414,221,22.62,17.320629391785285,0.01804523556789418,0.06812141338044929,0.0,0.0,0.023,51
