lganame,wardname,year,month,no2_mol_m2,no2_valid_pixels,no2_umol_m2,rainfall_mm,rainfall_valid_pixels,t2m_mean,t2m_max,t2m_min,ts_mean,temp_n_days,flare_n_sites,flare_total_bcm_13yr,flare_max_site_bcm,flare_last_year_bcm,flare_operators,fac_total,fac_phc,fac_secondary,fac_tertiary,fac_public,fac_private,pop_total,pop_under5,ndvi_annual,ym
Bomadi,Akugbene 1,2019,3,2.269046672154218e-05,4.0,22.69046672154218,134.16990661621094,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2019-03
Bomadi,Akugbene 1,2019,4,1.4727939742442686e-05,4.0,14.727939742442686,168.650146484375,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2019-04
Bomadi,Akugbene 1,2019,5,1.4202199963619933e-05,4.0,14.202199963619933,290.72100830078125,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2019-05
Bomadi,Akugbene 1,2019,6,1.4341025234898552e-05,4.0,14.341025234898552,339.3639831542969,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2019-06
Bomadi,Akugbene 1,2019,7,1.5692257875343785e-05,4.0,15.692257875343785,619.8182983398438,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2019-07
Bomadi,Akugbene 1,2019,8,1.159192561317468e-05,4.0,11.59192561317468,284.21319580078125,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2019-08
Bomadi,Akugbene 1,2019,9,1.3189041965233628e-05,4.0,13.189041965233628,602.923828125,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2019-09
Bomadi,Akugbene 1,2019,10,1.249906563316472e-05,4.0,12.49906563316472,471.087890625,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2019-10
Bomadi,Akugbene 1,2019,11,1.900708957691677e-05,4.0,19.00708957691677,226.4571075439453,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2019-11
Bomadi,Akugbene 1,2019,12,3.0478675398626365e-05,4.0,30.478675398626365,80.83403015136719,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2019-12
Bomadi,Akugbene 1,2020,1,3.357827881700359e-05,4.0,33.57827881700359,4.9719438552856445,2,25.04,32.97,15.08,24.53,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2020-01
Bomadi,Akugbene 1,2020,2,2.387791028013453e-05,4.0,23.87791028013453,13.54708194732666,2,26.92,33.72,17.99,26.66,29.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2020-02
Bomadi,Akugbene 1,2020,3,1.836055162129924e-05,4.0,18.36055162129924,126.18134307861328,2,27.37,33.15,22.44,27.41,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2020-03
Bomadi,Akugbene 1,2020,4,4.852304846281186e-05,4.0,48.52304846281186,172.07424926757812,2,27.15,34.33,22.27,27.22,30.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2020-04
Bomadi,Akugbene 1,2020,5,8.587201705267944e-07,4.0,0.8587201705267944,235.2183074951172,2,26.68,31.91,23.95,26.74,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2020-05
Bomadi,Akugbene 1,2020,6,8.406865163124166e-06,4.0,8.406865163124166,351.6783447265625,2,25.59,30.75,22.8,25.67,30.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2020-06
Bomadi,Akugbene 1,2020,7,1.0489413398317993e-05,4.0,10.489413398317993,566.1959228515625,2,24.74,29.94,22.09,24.82,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2020-07
Bomadi,Akugbene 1,2020,8,1.2906291885883547e-05,4.0,12.906291885883547,127.9407958984375,2,24.48,30.41,19.96,24.6,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2020-08
Bomadi,Akugbene 1,2020,9,9.797497114050202e-06,4.0,9.797497114050202,405.9150390625,2,24.98,30.5,22.24,25.08,30.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2020-09
Bomadi,Akugbene 1,2020,10,1.7174115782836452e-05,4.0,17.174115782836452,239.11715698242188,2,25.58,31.68,22.19,25.64,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2020-10
Bomadi,Akugbene 1,2020,11,2.1215411834418774e-05,4.0,21.215411834418774,106.436279296875,2,26.5,31.99,22.85,26.52,30.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2020-11
Bomadi,Akugbene 1,2020,12,3.096056025242433e-05,4.0,30.96056025242433,58.04637908935547,2,26.46,31.97,21.71,26.51,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2020-12
Bomadi,Akugbene 1,2021,1,3.154107616865076e-05,4.0,31.54107616865076,30.63037872314453,2,26.52,32.41,20.44,26.45,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2021-01
Bomadi,Akugbene 1,2021,2,2.5799994546105157e-05,4.0,25.799994546105157,44.75428009033203,2,26.62,33.09,17.85,26.47,28.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2021-02
Bomadi,Akugbene 1,2021,3,2.1564044800470583e-05,4.0,21.564044800470583,100.41000366210938,2,26.8,32.43,23.3,26.84,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2021-03
Bomadi,Akugbene 1,2021,4,1.5645309758838266e-05,4.0,15.645309758838266,172.8483428955078,2,26.72,31.65,23.28,26.73,30.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2021-04
Bomadi,Akugbene 1,2021,5,1.3590889466286171e-05,4.0,13.590889466286171,331.4163513183594,2,26.36,30.28,23.47,26.38,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2021-05
Bomadi,Akugbene 1,2021,6,1.3089849744574169e-05,4.0,13.089849744574169,462.7764892578125,2,25.69,31.42,22.31,25.74,30.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2021-06
Bomadi,Akugbene 1,2021,7,1.261810120922746e-05,4.0,12.61810120922746,254.47146606445312,2,24.94,29.45,21.32,25.02,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2021-07
Bomadi,Akugbene 1,2021,8,1.3208960808697157e-05,4.0,13.208960808697157,498.5640563964844,2,24.9,29.49,22.05,24.97,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2021-08
Bomadi,Akugbene 1,2021,9,1.5533321857219562e-05,4.0,15.533321857219562,576.0173950195312,2,25.24,30.3,21.78,25.29,30.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2021-09
